台灣順序,#genre#
客家電視台,http://220.135.241.47:8307/0.ts
客家電視台,https://4gtv.158.qzz.io/163189/97058609-f76d-4885-877b-8e99dcc05e84/
客家電視台,http://4gtv.cnlive.club/channel/n855e5fe/index.m3u8?q=1782639885837
BBC Earth,https://t.freetv.fun/live/bbc-earth.m3u8
BBC Earth,https://t.freetv.fun/live/bbc-earth-1.m3u8
Discovery,https://t.freetv.fun/live/discovery-id.m3u8
Discovery,https://t.freetv.fun/live/discovery-h-h.m3u8
TLC旅遊生活,http://125.227.210.55:4047/VideoInput/play.ts
動物星球,http://125.227.210.55:3054/VideoInput/play.ts
CN卡通頻道,http://125.227.210.55:3027/VideoInput/play.ts
尼克兒童頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=185
尼克兒童頻道,https://4gtv.158.qzz.io/163189/f95b1f70-493b-49ed-8e36-e3d4ba58b891/
尼克兒童頻道,http://4gtv.cnlive.club/channel/51bbda39/index.m3u8?q=1782639885837
MOMO親子台,https://ha.msbot.dpdns.org/4gtv_api.php?id=231
MOMO親子台,https://4gtv.158.qzz.io/163189/4e7af03f-ef5e-4a0b-a2ef-0cb6a51351a9/
MOMO親子台,http://4gtv.cnlive.club/channel/n33a56e39/index.m3u8?q=1782639885837
東森幼幼,http://125.227.210.55:4052/VideoInput/play.ts
靖天綜合台,https://ha.msbot.dpdns.org/4gtv_api.php?id=21
靖天綜合台,https://4gtv.158.qzz.io/163189/46bac370-f61c-446e-8eed-9b67ec322064/
靖天綜合台,http://4gtv.cnlive.club/channel/3f6ecb92/index.m3u8?q=1782639885837
八大第一,http://125.227.210.55:1085/VideoInput/play.ts
八大綜藝台,https://ha.msbot.dpdns.org/4gtv_api.php?id=114
八大綜藝台,https://ha.msbot.dpdns.org/4gtv_api.php?id=276
八大綜藝台,https://4gtv.158.qzz.io/163189/d8836828-137d-48d3-8c54-8291eedd9c9a/
